species_id,habitat_id
1,3
2,3
3,3
4,4
5,4
6,4
7,9
8,9
9,9
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,3
20,3
21,6
22,6
23,3
24,3
25,2
26,2
27,6
28,6
29,3
30,3
31,3
32,3
33,3
34,3
35,4
36,4
37,3
38,3
39,3
40,3
41,1
42,1
43,3
44,3
45,3
46,2
47,2
48,2
49,2
50,1
51,1
52,8
53,8
54,9
55,9
56,4
57,4
58,3
59,3
60,9
61,9
62,9
63,8
64,8
65,8
66,4
67,4
68,4
69,2
70,2
71,2
72,7
73,7
74,4
75,4
76,4
77,3
78,3
79,9
80,9
81,6
82,6
83,3
84,3
85,3
86,7
87,7
88,8
89,8
90,7
91,7
92,1
93,1
94,1
95,1
96,3
97,3
98,9
99,9
100,8
101,8
102,2
103,2
104,4
105,4
106,8
107,8
108,3
109,8
110,8
111,6
112,6
113,8
114,3
115,3
116,7
117,7
118,9
119,9
120,7
121,7
122,8
123,3
124,8
125,3
126,4
127,2
128,3
129,9
130,9
131,7
132,8
133,8
134,8
135,8
136,8
137,8
138,7
139,7
140,7
141,7
142,4
143,4
144,5
145,5
146,5
147,9
148,9
149,9
150,5
151,5
152,3
153,3
154,3
155,3
156,3
157,3
158,9
159,9
160,9
161,3
162,3
163,2
164,2
165,2
166,2
167,2
168,2
169,1
170,7
171,7
172,2
173,4
174,3
175,2
176,2
177,2
178,2
179,3
180,3
181,3
182,3
183,9
184,9
185,2
186,9
187,3
188,3
189,3
190,2
191,3
192,3
193,2
194,9
195,9
196,8
197,8
198,2
199,9
200,1
201,5
202,1
203,3
204,2
205,2
206,1
207,4
208,1
209,8
210,8
211,7
212,3
213,4
214,2
215,2
216,4
217,4
218,4
219,4
220,1
221,1
222,7
223,7
224,7
225,4
226,7
227,6
228,6
229,6
230,7
231,6
232,6
233,8
234,2
235,8
236,8
237,8
238,8
239,3
240,4
241,3
242,8
243,3
244,3
245,3
246,4
247,4
248,4
249,5
250,5
251,2
252,2
253,2
254,2
255,3
256,3
257,3
258,9
259,9
260,9
261,3
262,3
263,3
264,3
265,2
266,2
267,2
268,2
269,2
270,9
271,9
272,9
273,2
274,2
275,2
276,3
277,3
278,7
279,7
280,8
281,8
282,8
283,9
284,9
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,1
294,1
295,1
296,4
297,4
298,9
299,1
300,2
301,2
302,1
303,1
304,4
305,4
306,4
307,4
308,4
309,3
310,3
311,3
312,3
313,2
314,2
315,3
316,3
317,3
318,7
319,7
320,7
321,7
322,4
323,4
324,4
325,4
326,4
327,4
328,6
329,6
330,6
331,6
332,6
333,2
334,2
335,3
336,3
337,1
338,1
339,9
340,9
341,9
342,9
343,6
344,6
345,7
346,7
347,9
348,9
349,9
350,9
351,3
352,2
353,8
354,8
355,2
356,2
357,2
358,3
359,4
360,1
361,1
362,1
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,6
372,6
373,6
374,6
375,6
376,6
377,1
378,1
379,1
380,9
381,9
382,7
383,6
384,5
385,4
386,5
